OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
174,10308,Staten Island,27612.000000000000000,62751041.815149500966072,Richmond,,41507.847102007755893,62751041.883726745843887
175,11697,Breezy Point,4079.000000000000000,59789760.619921803474426,Queens,,48880.268446599162417,59789760.809273712337017
176,10312,Staten Island,58506.000000000000000,169087432.907113999128342,Richmond,,65791.929357449931558,169087433.076431512832642
177,10309,Staten Island,33114.000000000000000,215835793.517093986272812,Richmond,,79038.535791394591797,215835793.212470859289169
178,10307,Staten Island,14096.000000000000000,46028382.629760198295116,Richmond,,31375.313897312509653,46028382.775120258331299
179,10280,New York,3170.000000000000000,2234114.007374770008028,New York,,8192.125583579600061,2234114.006327773910016
180,11004,Glen Oaks,11776.000000000000000,22606526.913569901138544,Queens,,23002.815528628587344,22606526.888915423303843
181,11040,New Hyde Park,2349.000000000000000,6269333.411946999840438,Queens,,15749.161011373587826,6269334.277196914888918
182,11426,Bellerose,20050.000000000000000,49609163.539430499076843,Queens,,36273.902625045913737,49609163.457345217466354
183,11365,Fresh Meadows,40528.000000000000000,69385865.594738900661469,Queens,,38693.566359376010951,69385865.523122683167458
184,11001,Floral Park,3944.000000000000000,9155180.262760069221258,Queens,,13594.924094905689344,9155180.424330119043589
185,11427,Queens Village,21942.000000000000000,39435767.417304202914238,Queens,,30908.750442683824076,39435767.960168398916721
186,11366,Fresh Meadows,13168.000000000000000,20358592.750254798680544,Queens,,27282.736338949049241,20358592.110104177147150
187,11423,Hollis,30243.000000000000000,45095032.100924201309681,Queens,,31339.802592206255213,45095031.953834697604179
188,11428,Queens Village,18818.000000000000000,21927545.492328900843859,Queens,,22898.407809175314469,21927544.950120333582163
189,11432,Jamaica,62075.000000000000000,60177575.638064600527287,Queens,,33123.943001226580236,60177575.911108531057835
190,11379,Middle Village,35428.000000000000000,57622817.045381799340248,Queens,,34230.050574602697452,57622817.599574506282806
191,11429,Queens Village,25116.000000000000000,39559398.284528300166130,Queens,,26527.076141933946928,39559398.678067728877068
192,11415,Kew Gardens,18990.000000000000000,16802279.509406499564648,Queens,,21074.653570981721714,16802279.212412960827351
193,11433,Jamaica,33679.000000000000000,47739432.596532396972179,Queens,,30603.735090625446901,47739432.516963824629784
194,11451,Jamaica,0.000000000000000,487599.726794559974223,Queens,,2961.553534506787400,487599.517515707062557
195,11434,Jamaica,57989.000000000000000,87379704.157841399312019,Queens,,43829.860830075856938,87379705.156511828303337
196,11416,Ozone Park,25423.000000000000000,18854849.801303200423717,Queens,,21630.677054444389796,18854850.292383763939142
197,10055,New York,12.000000000000000,37223.538790589998825,New York,,842.265588275807431,37223.580791076208698
198,10111,New York,0.000000000000000,103066.253267489999416,New York,,1311.840259274979417,103066.354629226974794
199,10153,New York,0.000000000000000,80339.647225309992791,New York,,1209.557046336555459,80339.670345317630563
200,10154,New York,0.000000000000000,79148.802394710000954,New York,,1201.222309850294778,79148.803029066009913
201,10152,New York,0.000000000000000,59924.998273739998695,New York,,1004.599818668397575,59925.092521703270904
202,10115,New York,0.000000000000000,71720.115467900002841,New York,,1074.605325388331266,71720.222855487518245
203,11370,Bronx,40591.000000000000000,18190205.186640098690987,Bronx,,17837.721556050128129,18190205.194814767688513
204,10075,New York,25203.000000000000000,4809654.276489160023630,New York,,13540.765109139902052,4809653.441301254555583
205,10069,New York,5850.000000000000000,2372365.889054169878364,New York,,7780.631784332343159,2372366.161561531946063
206,10281,New York,4017.000000000000000,955857.821894070017152,New York,,4714.719767767117446,955857.762739920988679
207,10282,New York,4139.000000000000000,1562844.987448479980230,New York,,6080.325685584110943,1562844.821437397738919
208,10279,New York,0.000000000000000,28664.705812590000278,New York,,680.943614095245493,28664.652708773093764
209,10165,New York,0.000000000000000,40779.815201600002183,New York,,985.263167547719831,40779.860445138103387
